Date,actual,forecast,step,sqrt_h,forecast_error,lower_90_0,upper_90_0,outside_90_0,lower_95_0,upper_95_0,outside_95_0,lower_97_5,upper_97_5,outside_97_5,lower_99_0,upper_99_0,outside_99_0,lower_99_9,upper_99_9,outside_99_9
2008-01-01,-27.243017665340652,-28.18206959629619,1,1.0,0.9390519309555394,-29.517811495434795,-26.846327697157587,False,-29.773704239072853,-26.59043495351953,False,-30.002253159774945,-26.361886032817438,False,-30.27383209078397,-26.090307101808413,False,-30.85421887053617,-25.509920322056214,False
2008-01-02,-29.02226163956845,-28.221891261535017,2,1.4142135623730951,-0.8003703780334313,-30.110915571126828,-26.332866951943206,False,-30.472802559692628,-25.970979963377406,False,-30.79601954301526,-25.647762980054775,False,-31.18009015050301,-25.263692372567025,False,-32.000881005850616,-24.442901517219415,False
2008-01-03,-29.4359974460236,-28.26175436675218,3,1.7320508075688772,-1.1742430792714202,-30.575327201858787,-25.94818153164557,False,-31.018546435128094,-25.504962298376263,False,-31.41440477779915,-25.10910395570521,False,-31.884793284572023,-24.638715448932334,False,-32.89005267514412,-23.633456058360235,False
2008-01-04,-28.92619627018213,-28.301658911947676,4,2.0,-0.624537358234452,-30.973142710224888,-25.630175113670465,False,-31.484928197501,-25.118389626394354,False,-31.942026038905183,-24.66129178499017,False,-32.48518390092323,-24.11813392297212,False,-33.64595746042763,-22.957360363467718,False
2008-01-07,-28.03423878971549,-28.34160489712151,5,2.23606797749979,0.30736610740601833,-31.3284145839901,-25.35479521025292,False,-31.900608153713716,-24.782601640529304,False,-32.4116590765878,-24.271550717655213,False,-33.01892802758071,-23.66428176666231,False,-34.31671232034883,-22.36649747389419,False
2008-01-08,-28.354935563514257,-28.38159232227368,6,2.449489742783178,0.026656758759422416,-31.653478403219417,-25.10970624132794,False,-32.280285054013476,-24.482899590533883,False,-32.84011329099742,-23.92307135354994,False,-33.505343096860045,-23.257841547687313,False,-34.92699456071002,-21.836190083837337,False
2008-01-09,-28.0276686314479,-28.421621187404185,7,2.6457513110645907,0.393952555956286,-31.955662068294057,-24.887580306514312,False,-32.63269063026635,-24.210551744542016,False,-33.23737423685631,-23.605868137952054,False,-33.95590454963096,-22.887337825177408,False,-35.491463633084905,-21.351778741723464,False
2008-01-10,-29.132557695933645,-28.461691492513026,8,2.8284271247461903,-0.6708662034206192,-32.23974011169665,-24.683642873329404,False,-32.96351408882825,-23.959868896197808,False,-33.60994805547351,-23.313434929552542,False,-34.37808927044901,-22.545293714577042,False,-36.01967098114423,-20.90371200388182,False
2008-01-11,-28.96307165991104,-28.501803237600203,9,3.0,-0.4612684223108374,-32.50902893501602,-24.494577540184387,False,-33.27670716593018,-23.726899309270223,False,-33.962353928036464,-23.041252547163943,False,-34.77709072106354,-22.22651575413687,False,-36.51825106032014,-20.485355414880267,False
2008-01-14,-29.976069198686773,-28.541956422665717,10,3.1622776601683795,-1.4341127760210561,-32.765943190062615,-24.31796965526882,False,-33.57514709666843,-23.508765748663006,False,-34.297882242860254,-22.786030602471183,False,-35.156690229362496,-21.927222615968933,False,-36.99203437722995,-20.091878468101484,False
2008-01-15,-29.223499736969547,-28.582151047709566,11,3.3166247903554,-0.6413486892599813,-33.01230574390907,-24.151996351510064,False,-33.8610059611311,-23.303296134288033,False,-34.61901697734063,-22.5452851180785,False,-35.51974239246338,-21.64455970295575,False,-37.444667574184066,-19.71963452123506,False
2008-01-16,-27.465535062642832,-28.62238711273175,12,3.4641016151377544,1.1568520500889186,-33.24953278294497,-23.995241442518534,False,-34.13597124948358,-23.10880297597992,False,-34.92768793482569,-22.317086290637807,False,-35.86846494837144,-21.376309277092062,False,-37.87898372951564,-19.365790495947863,False
2008-01-17,-26.49563689677498,-28.662664617732272,13,3.605551275463989,2.167027720957293,-33.47875052586216,-23.846578709602383,False,-34.40138493406833,-22.92394430139621,False,-35.22542978661168,-22.099899448852863,False,-36.20462154770041,-21.120707687764128,False,-38.2972358416984,-19.02809339376614,False
2008-01-18,-26.66994910130684,-28.70298356271113,14,3.7416573867739413,2.033034461404288,-33.700872106446546,-23.70509501897571,False,-34.65833508090172,-22.747632044520536,False,-35.51348683828592,-21.892480287136337,False,-36.52964215158801,-20.87632497383425,False,-38.70125063323377,-18.704716492188485,False
2008-01-21,-26.570944423939967,-28.743343947668322,15,3.872983346207417,2.1723995237283553,-33.91665007786361,-23.570037817473036,False,-34.907718412389116,-22.578969482947524,False,-35.79288457606201,-21.69380331927464,False,-36.84470525304077,-20.641982642295872,False,-39.09253358538,-18.394154309956647,False
2008-01-22,-25.937679310488303,-28.78374577260385,16,4.0,2.846066462115548,-34.126713369158274,-23.440778176049427,False,-35.150284343710496,-22.41720720149721,False,-36.064480026518865,-21.503011518688837,False,-37.15079575055496,-20.41669579465274,False,-39.47234286956377,-18.095148675643934,False
2008-01-23,-25.81492911688569,-28.824189037517716,17,4.123105625617661,3.009259920632026,-34.33159397622932,-23.316784098806114,False,-35.38666678707812,-22.26171128795731,False,-36.32899812775376,-21.319379947281668,False,-37.4487467459963,-20.19963132903913,False,-39.84174274262672,-17.80663533240871,False
2008-01-24,-27.766181515019117,-28.864673742409916,18,4.242640687119285,1.0984922273907998,-34.531746671185346,-23.197600813634484,False,-35.617407636882746,-22.111939847937087,False,-36.587058586850645,-21.14228889796919,False,-37.73927040931389,-19.99007707550594,False,-40.20164297535672,-17.527704509463113,False
2008-01-25,-27.20813402547475,-28.905199887280453,19,4.358898943540674,1.6970658618057044,-34.727563840278734,-23.082835934282173,False,-35.842974450182375,-21.96742532437853,False,-36.83919609917809,-20.971203675382817,False,-38.022981214641234,-19.787418559919672,False,-40.55282853574808,-17.25757123881283,False
2008-01-28,-28.330030407802045,-28.945767472129326,20,4.47213595499958,0.6157370643272806,-34.919386845866505,-22.972148098392147,False,-36.06377398531374,-21.82776095894491,False,-37.08587583106192,-20.805659113196732,False,-38.300413733047726,-19.591121211210925,False,-40.89598231858397,-16.995552625674684,False
2008-01-29,-28.26690351363916,-28.986376496956535,21,4.58257569495584,0.7194729833173739,-35.10751485868326,-22.865238135229806,False,-36.280162726194575,-21.69259026771849,False,-37.32750545531238,-20.64524753860069,False,-38.572036463816424,-19.400716530096645,False,-41.23170281438255,-16.741050179530518,False
2008-01-30,-29.124432881475418,-29.02702696176208,22,4.69041575982343,-0.09740591971333856,-35.29221181653827,-22.761842106985885,False,-36.49245517412266,-21.561598749401497,False,-37.56444463367439,-20.489609289849767,False,-38.83826273171512,-19.215791191809036,False,-41.56051803025802,-16.49353589326614,False
2008-01-31,-28.887469379307905,-29.06771886654596,23,4.795831523312719,0.18024948723805423,-35.47371197344448,-22.661725759647435,False,-36.70093045997085,-21.434507273121074,False,-37.79701257849304,-20.338425154598877,False,-39.09945937689369,-19.03597835619823,False,-41.882896590943254,-16.252541142148665,False
2008-02-01,-28.08363021051076,-29.108452211308176,24,4.898979485566356,1.0248220007974176,-35.65222437319965,-22.5646800494167,False,-36.90583767478777,-21.311066747828583,False,-38.025494148755655,-20.191410273860697,False,-39.35595376048091,-18.860950662135444,False,-42.19925668818086,-16.017647734435492,False
2008-02-04,-27.66089890447472,-29.14922699604873,25,5.0,1.488328091574008,-35.82793649174176,-22.4705175003557,False,-37.10740020993203,-21.191053782165426,False,-38.250144813442496,-20.04830917865496,False,-39.60803946848762,-18.69041452360984,False,-42.50997336724862,-15.788480624848834,False
2008-02-05,-25.512064984797423,-29.190043220767617,26,5.0990195135927845,3.677978235970194,-36.00101722959885,-22.379069211936383,False,-37.30581932279609,-21.074267118739144,False,-38.47119472926663,-19.908891712268606,False,-39.85598099796232,-18.524105443572918,False,-42.81538451335007,-15.564701928185167,False
2008-02-06,-25.489234090269733,-29.23090088546484,27,5.196152422706632,3.7416667951951084,-36.17161939078466,-22.29018238014502,False,-37.50127709059259,-20.960524680337095,False,-38.68885211860575,-19.772949652323927,False,-40.10001763892438,-18.361784132005305,False,-43.11579581064068,-15.346005960289007,False
2008-02-07,-24.893406135924373,-29.2717999901404,28,5.291502622129181,4.378393854216029,-36.339881751920146,-22.203718228360657,False,-37.693938875864745,-20.84966110441606,False,-38.90330608904466,-19.64029389123614,False,-40.340366714593955,-18.203233265686848,False,-43.411484881501835,-15.132115098778964,False
2008-02-08,-25.70292030023869,-29.312740534794298,29,5.385164807134504,3.609820234555606,-36.505930801450525,-22.119550268138074,False,-37.88395539889127,-20.741525670697328,False,-39.11472900336475,-19.510752066223844,False,-40.57722630499376,-18.048254764594834,False,-43.70270476584144,-14.922776303747158,False
2008-02-11,-26.053002054692907,-29.35372251942653,30,5.477225575051661,3.3007204647336224,-36.669882211056574,-22.03756282779648,False,-38.07146449098107,-20.63598054787199,False,-39.323278484601026,-19.384166554252033,False,-40.81077755116885,-17.896667487684212,False,-43.98968686464948,-14.717758174203583,False
2008-02-12,-25.937142850948565,-29.394745944037098,31,5.5677643628300215,3.457603093088533,-36.83184208799992,-21.957649800074275,False,-38.256592586734676,-20.53289930133952,False,-39.529099122583055,-19.26039276549114,False,-41.04118661635058,-17.748305271723616,False,-44.27264344531256,-14.516848442761637,False
2008-02-13,-26.11784193792354,-29.435810808626,32,5.656854249492381,3.3179688707024617,-36.991908046993245,-21.879713570258758,False,-38.43945600125644,-20.432165615995565,False,-39.73232393454697,-19.13929768270503,False,-41.26860636449797,-17.603015252754034,False,-44.55176978588841,-14.319851831363597,False
2008-02-14,-26.47225713608991,-29.47691711319324,33,5.744562646538029,3.00465997710333,-37.150170132400646,-21.80366409398584,False,-38.620162029023945,-20.33367219736254,False,-39.933075621795766,-19.020758604590714,False,-41.49317780445694,-17.460656421929542,False,-44.827246019965926,-14.126588206420557,False
2008-02-15,-26.414058717721417,-29.518064857738818,34,5.830951894845301,3.1040061400174004,-37.30671161554533,-21.729418099932303,False,-38.79880989393881,-20.237319821538826,False,-40.13146765617152,-18.90466205930611,False,-41.71503133853866,-17.321098376938977,False,-45.099238731677914,-13.936890983799717,False
2008-02-18,-26.32747119457228,-29.55925404226273,35,5.916079783099616,3.23178284769045,-37.46160968719572,-21.656898397329737,False,-38.97549157447471,-20.14301651005075,False,-40.3276052236896,-18.79090286083586,False,-41.934287846947896,-17.184220237577563,False,-45.36790234101818,-13.750605743507279,False
2008-02-19,-27.28541186861501,-29.600484666764977,36,6.0,2.3150727981499664,-37.61493606159661,-21.586033271933346,False,-39.15029252342494,-20.050676810105017,False,-40.5215860476375,-18.679383285892456,False,-42.151059633691645,-17.04990969983831,False,-45.63338031220485,-13.567589021325105,False
2008-02-20,-27.83746841232661,-29.64175673124556,37,6.082762530298219,1.8042883189189496,-37.766757505475255,-21.516755957015867,False,-39.32329229825202,-19.9602211642391,False,-40.71350110943881,-18.57001235305231,False,-42.36545125499895,-16.91806220749217,False,-45.895806211956085,-13.387707250535037,False
2008-02-21,-28.141022429965997,-29.68307023570448,38,6.164414002968976,1.542047805738484,-37.91713630310687,-21.44900416830209,False,-39.494565115247454,-19.87157535616151,False,-40.90343528238688,-18.46270518902208,False,-42.57756024761025,-16.788580223798707,False,-46.155304639852794,-13.210835831556167,False
2008-02-22,-28.496480317257173,-29.724425180141736,39,6.244997998398398,1.2279448628845628,-38.066130666639204,-21.38271969364427,False,-39.66418033846353,-19.78467002181994,False,-41.091467890784216,-18.357382469499257,False,-42.78747777134275,-16.661372588940722,False,-46.411992049192136,-13.036858311091336,False
2008-02-25,-28.496504233691752,-29.765821564557328,40,6.324555320336759,1.2693173308655759,-38.213795099351124,-21.31784802976353,False,-39.83220291256275,-19.699440216551906,False,-41.277673204946396,-18.25396992416826,False,-42.995289177950895,-16.53635395116376,False,-46.6659774736858,-12.86566565542886,False
2008-02-26,-30.16463010450732,-29.807259388951255,41,6.4031242374328485,-0.3573707155560655,-38.36018071828025,-21.254338059622267,False,-39.99869374725226,-19.61582503065025,False,-41.46212088083895,-18.152397897063558,False,-43.20107451635894,-16.413444261543567,False,-46.91736317287586,-12.697155605026651,False
2008-02-27,-30.899279999811704,-29.84873865332352,42,6.48074069840786,-1.0505413464881848,-38.50533554163969,-21.19214176500735,False,-40.16371005976208,-19.53376724688496,False,-41.64487635173332,-18.052600954913714,False,-43.40490898275361,-16.292568323893427,False,-47.16624520711157,-12.531232099535462,False
2008-02-28,-31.86641343306718,-29.89025935767412,43,6.557438524302,-1.9761540753930618,-38.649304745609925,-21.131213969738308,False,-40.327305680831444,-19.453213034516793,False,-41.826001178130994,-17.954517537217246,False,-43.606863322718326,-16.17365539262991,False,-47.41271395126098,-12.36780476408725,False
2008-02-29,-31.13748603539699,-29.931821502003054,44,6.6332495807108,-1.2056645333939358,-38.79213089440206,-21.07151210960405,False,-40.48953132884612,-19.374111675159988,False,-42.005553361265186,-17.85808964274092,False,-43.807004191510686,-16.05663881249542,False,-47.65685455495206,-12.206788449054045,False
2008-03-03,-31.438306227139066,-29.973425086310325,45,6.708203932499369,-1.4648811408287408,-38.9338541469161,-21.012996025704552,False,-40.650434856086946,-19.296415316533704,False,-42.18358762470921,-17.763262547911438,False,-44.00539447768793,-15.941455694932722,False,-47.898747355992285,-12.048102816628361,False
2008-03-04,-30.801483168536382,-30.015070110595932,46,6.782329983125268,-0.7864130579404502,-39.07451244284039,-20.955627778351477,False,-40.81006147048095,-19.22007875071091,False,-42.36015566796968,-17.66998455322219,False,-44.20209359453729,-15.828046626654572,False,-48.13846825266016,-11.8916719685317,False
2008-03-05,-32.19928392367552,-30.056756574859875,47,6.855654600401044,-2.1425273488156478,-39.214141670637886,-20.899371479081864,False,-40.96845393576936,-19.14505921395039,False,-42.535306395397356,-17.578206754322395,False,-44.39715774314138,-15.716355406578376,False,-48.376089039761496,-11.737424109958255,False
2008-03-06,-31.91312877096509,-30.098484479102154,48,6.928203230275509,-1.8146442918629369,-39.35277581952859,-20.844193138675724,False,-41.125652752605816,-19.071316205598492,False,-42.70908612329004,-17.487882834914267,False,-44.59064015038153,-15.606328807822775,False,-48.61167771266993,-11.585291245534378,False
2008-03-07,-31.649446537689204,-30.14025382332277,49,7.0,-1.509192714366435,-39.49044711729301,-20.79006052935253,False,-41.28169632275939,-18.998811323886148,False,-42.881538767674044,-17.398968878971495,False,-44.782591284737215,-15.497916361908324,False,-48.84529874300262,-11.435208903642916,False
2008-03-10,-31.3509607030467,-30.18206460752172,50,7.0710678118654755,-1.1688960955249783,-39.62718615548077,-20.736943059562666,False,-41.43662109830977,-18.927508116733673,False,-43.05270601492293,-17.311423200120508,False,-44.973059052361684,-15.391070162681759,False,-49.07701332909973,-11.287115885943717,False
2008-03-11,-31.5232874708339,-30.223916831699007,51,7.14142842854285,-1.2993706391348923,-39.763022003403265,-20.68481165999475,False,-41.59046171747789,-18.85737194592012,False,-43.22262747709261,-17.225206186305407,False,-45.16208897559373,-15.285744687804282,False,-49.30687962406654,-11.140954039331476,False
2008-03-12,-32.863286899613364,-30.26581049585463,52,7.211102550927978,-2.5974764037587335,-39.89798231211441,-20.63363867959485,False,-41.74325112852675,-18.788369863182513,False,-43.39134083361345,-17.140280158095813,False,-45.34972435579092,-15.181896635918344,False,-49.53495294378689,-10.996668047922373,False
2008-03-13,-33.63202268805326,-30.30774559998859,53,7.280109889280518,-3.3242770880646724,-40.03209340943389,-20.583397790543287,False,-41.89502070298842,-18.72047049698876,False,-43.55888196077611,-17.056609239201066,False,-45.536006422135145,-15.079484777842032,False,-49.76128595701682,-10.854205242960361,False
2008-03-14,-33.48611020141041,-30.349722144100884,54,7.3484692283495345,-3.136388057309528,-40.1653803869381,-20.53406390126367,False,-42.04580033932028,-18.65364394888149,False,-43.725285050272106,-16.974159237929662,False,-45.72097446785998,-14.978469820341784,False,-49.98592885940991,-10.713515428791858,False
2008-03-17,-33.30073966572247,-30.391740128191515,55,7.416198487095663,-2.9089995375309528,-40.29786717973353,-20.4856130766495,False,-42.19561855796083,-18.587861698422202,False,-43.890582717899036,-16.892897538483993,False,-45.90466597517522,-14.878814281207806,False,-50.20892953310382,-10.57455072327921,False
2008-03-18,-33.8018073818586,-30.43379955226048,56,7.483314773547883,-3.3680078295981204,-40.429576639731316,-20.438022464789647,False,-42.344502588641674,-18.523096515879292,False,-44.054806103410066,-16.812793001110897,False,-46.087116730014245,-14.780482374506722,False,-50.43033369330577,-10.437265411215193,False
2008-03-19,-30.76104804906536,-30.475900416307784,57,7.54983443527075,-0.2851476327575746,-40.56053060305838,-20.39127022955719,False,-42.49247845071287,-18.459322381902695,False,-44.2179849623735,-16.73381587024207,False,-46.26836092759945,-14.683439905016115,False,-50.650185023148524,-10.301615809467048,False
2008-03-20,-29.299717357953696,-30.518042720333423,58,7.615773105863909,1.2183253623797263,-40.6907499521688,-20.345335488498048,False,-42.639571027153224,-18.39651441351362,False,-44.380147750810444,-16.6559376898564,False,-46.448431269708244,-14.5876541709586,False,-50.86852529794402,-10.16756014272283,False
2008-03-21,-29.178671920347647,-30.560226464337397,59,7.681145747868608,1.3815545439897505,-40.82025467315584,-20.300198255518957,False,-42.78580413286171,-18.33464879581308,False,-44.54132170329255,-16.57913122538224,False,-46.62735905442322,-14.49309387425157,False,-51.085394499836,-10.035058428838799,False
2008-03-24,-28.97532901670157,-30.602451648319708,60,7.745966692414834,1.627122631618139,-40.94906390871028,-20.255839387929136,False,-42.9312005777613,-18.273702718878113,False,-44.70153290510707,-16.503370391532343,False,-46.8051742590646,-14.399729037574811,False,-51.30083092374306,-9.904072372896358,False
2008-03-25,-30.6327723239766,-30.644718272280354,61,7.810249675906654,0.011945948303754506,-41.07719600712259,-20.21224053743812,False,-43.07578222518857,-18.21365431937214,False,-44.8608063590309,-16.428630185529805,False,-46.981905616927214,-14.307530927633493,False,-51.51487127538735,-9.774565269173358,False
2008-03-26,-32.2327184842989,-30.687026336219336,62,7.874007874011811,-1.5456921480795636,-41.20466856768421,-20.169384104754464,False,-43.21957004599274,-18.154482626445937,False,-45.01916604719791,-16.354886625240756,False,-47.15758068837869,-14.216471984059986,False,-51.727550762119876,-9.646501910318797,False
2008-03-27,-32.000810177069695,-30.729375840136655,63,7.937253933193772,-1.2714343369330408,-41.33149848280627,-20.127253197467038,False,-43.36258416872317,-18.096167511550142,False,-45.17663498849305,-16.282116691780264,False,-47.33222592681699,-14.126525753456324,False,-51.938903177178815,-9.519848503094497,False
2008-03-28,-31.3359556829078,-30.77176678403231,64,8.0,-0.5641888988754928,-41.457701977141156,-20.085831590923462,False,-43.50484392624559,-18.038689641819026,False,-45.33323529186234,-16.21029827620228,False,-47.50586673993453,-14.037666828130085,False,-52.14896097795214,-9.394572590112478,False
2008-03-31,-30.384830171438875,-30.8141991679063,65,8.06225774829855,0.4293689964674243,-41.58329464396354,-20.045103691849057,False,-43.64636789909282,-17.982030436719775,False,-45.488988205888546,-16.139410129924055,False,-47.67852754669069,-13.94987078912191,False,-52.35775535875791,-9.270642977054685,False
2008-04-01,-28.770819676338743,-30.856672991758625,66,8.12403840463596,2.0858533154198824,-41.70829147904203,-20.00505450447522,False,-43.78717395582525,-17.926172027691997,False,-45.643914164947155,-16.069431818570095,False,-47.850231830354446,-13.863114153162801,False,-52.565316318604324,-9.148029664912926,False
2008-04-02,-29.903069361396053,-30.899188255589287,67,8.18535277187245,0.9961188941932342,-41.832706912209645,-19.96566959896893,False,-43.92727929064944,-17.871097220529133,False,-45.798032832226774,-16.0003436789518,False,-48.02100218794365,-13.777374323234923,False,-52.77167272434646,-9.026703786832119,False
2008-04-03,-29.934285170520297,-30.941744959398285,68,8.246211251235321,1.0074597888779877,-41.95655483682149,-19.92693508197508,False,-44.066700458519094,-17.816789460277477,False,-45.95136313987038,-15.93212677892619,False,-48.19086037635546,-13.69262954244111,False,-52.976852369616296,-8.906637549180275,False
2008-04-04,-30.74352813484501,-30.98434310318562,69,8.306623862918075,0.240814968340608,-42.07984863726987,-19.88883756910137,False,-44.20545340792131,-17.763232798449927,False,-46.103923326469484,-15.86476287990175,False,-48.35982735545483,-13.608858850916405,False,-53.18088202986664,-8.787804176504597,False
2008-04-07,-30.882812608168617,-31.02698268695129,70,8.366600265340756,0.14417007878267185,-42.20260121471111,-19.851364159191466,False,-44.343553511532036,-17.71041186237054,False,-46.25573097212151,-15.79823440178107,False,-48.527923328362576,-13.526042045540006,False,-53.3837875138376,-8.670177860064975,False
2008-04-08,-30.512203188270483,-31.069663710695295,71,8.426149773176359,0.5574605224248117,-42.32482501114421,-19.814502410246376,False,-44.48101559490749,-17.658311826483104,False,-46.406803031241125,-15.732524390149461,False,-48.695167779162304,-13.44415964222829,False,-53.58559371172586,-8.553733709664726,False
2008-04-09,-31.61967057633354,-31.112386174417637,72,8.48528137423857,-0.5072844019159035,-42.4465320319685,-19.77824031686677,False,-44.61785396336329,-17.60691838547198,False,-46.55715586329909,-15.667616485536184,False,-48.86157950822559,-13.363192840609685,False,-53.786324640311236,-8.438447708524034,False
2008-04-10,-31.154709637983437,-31.155150078118314,73,8.54400374531753,0.0004404401348772069,-42.56773386713611,-19.742566289100516,False,-44.75408242717923,-17.5562177290574,False,-46.706805261646196,-15.603494894590437,False,-49.027176665336626,-13.2831234909,False,-53.986003485272214,-8.324296670964415,False
2008-04-11,-31.03350261409969,-31.197955421797328,74,8.602325267042627,0.16445280769763926,-42.688441711004856,-19.707469132589797,False,-44.889714325255355,-17.506196518339298,False,-46.855766480566295,-15.54014436302836,False,-49.19197678078166,-13.203934062813001,False,-54.18465264090152,-8.211258202693141,False
2008-04-14,-30.822878602624485,-31.240802205454678,75,8.660254037844387,0.4179236028301929,-42.80866638098772,-19.67293802992164,False,-45.02476254733426,-17.456841863575097,False,-47.004054260689536,-15.477550150219818,False,-49.3559967945539,-13.125607616355449,False,-54.38229374741441,-8.09931066349495,False
2008-04-15,-31.07692734547225,-31.283690429090363,76,8.717797887081348,0.2067630836181138,-42.928418335086924,-19.638962523093802,False,-45.15923955489421,-17.40814130328652,False,-47.151682852885635,-15.41569800529509,False,-49.519253083811925,-13.048127774368801,False,-54.5789477260256,-7.988433132155119,False
2008-04-16,-33.01095469892005,-31.326620092704385,77,8.774964387392123,-1.6843346062156677,-43.04770768839317,-19.605532497015602,False,-45.293157400809164,-17.360082784599605,False,-47.29866604074694,-15.354574144661836,False,-49.68176148871714,-12.971478696691623,False,-54.774634811955906,-7.878605373452864,False
2008-04-17,-32.41781654347736,-31.369591196296742,78,8.831760866327848,-1.0482253471806153,-43.16654422862352,-19.572638163969966,False,-45.426527747863354,-17.31265464473013,False,-47.44501716176157,-15.294165230831918,False,-49.84353733676622,-12.895645055827263,False,-54.96937458551575,-7.769807807077736,False
2008-04-18,-31.494855591185864,-31.412603739867436,79,8.888194417315589,-0.08225185131842849,-43.28493743076571,-19.54027004896916,False,-45.55936188620104,-17.265845593533832,False,-47.590749127268886,-15.234458352465985,False,-50.00459546572384,-12.820612014011036,False,-55.163186001401115,-7.662021478333752,False
2008-04-21,-31.791120087960127,-31.455657723416465,80,8.94427190999916,-0.3354623645436625,-43.40289647089082,-19.508418975942106,False,-45.691670749785295,-17.219644697047634,False,-47.73587444128165,-15.175441005551281,False,-50.164950245253266,-12.74636520157966,False,-55.35608741632575,-7.555228030507184,False
2008-04-22,-32.22930851402712,-31.49875314694383,81,9.0,-0.7305553670832872,-43.520430239191285,-19.47707605469638,False,-45.82346493193377,-17.174041361953886,False,-47.880405218252605,-15.117101075635052,False,-50.32461559733383,-12.672890696553829,False,-55.54809661510364,-7.449409678784022,False
2008-04-23,-31.257767953464214,-31.54189001044953,82,9.055385138137417,0.2841220569853178,-43.63754735229671,-19.446232668602352,False,-45.954754699993956,-17.129025320905104,False,-48.02435319985704,-15.059426821042024,False,-50.48360501554741,-12.600175005351655,False,-55.73923083528692,-7.344549185612141,False
2008-04-24,-29.47163187266376,-31.58506831393357,83,9.1104335791443,2.1134364412698083,-43.7542561649159,-19.415880462951236,False,-46.085550009215396,-17.08458661865174,False,-48.16772977085694,-15.002406857010204,False,-50.64193158330966,-12.528205044557474,False,-55.92950679045554,-7.240629837411596,False
2008-04-25,-29.334578912160943,-31.62828805739594,84,9.16515138991168,2.293709145234999,-43.8705647808494,-19.386011333942484,False,-46.21586051587203,-17.040715598919853,False,-48.31054597410763,-14.94603014068425,False,-50.79960799111572,-12.456968123676162,False,-56.118940692247975,-7.137635422543912,False
2008-04-28,-29.41244562185188,-31.67154924083665,85,9.219544457292887,2.2591036189847706,-43.986481063413855,-19.356617418259447,False,-46.34569558968356,-16.997402891989747,False,-48.452812524762805,-14.890285956910496,False,-50.956646552864584,-12.386451928808714,False,-56.307548271215055,-7.0355502104582435,False
2008-04-29,-28.301103052959988,-31.714851864255696,86,9.273618495495704,3.413748811295708,-44.10201264531602,-19.327691083195365,False,-46.47506432558103,-16.95463940293036,False,-48.59453982372954,-14.83516390478185,False,-51.113059221321784,-12.316644507189608,False,-56.49534479657299,-6.934358931938405,False
